id,event_id,name,sport,team,region_en,region_fr,region_nl,bio_en,bio_fr,bio_nl
ath-1,sport-1,Athlete 3B1D6O9Z,Adapted Physical Activities,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 45, active in Adapted Physical Activities (2025).","Athlete male, 45 ans, actif en Adapted Physical Activities (2025).","Male atleet, 45 jaar, actief in Adapted Physical Activities (2025)."
ath-3,sport-17,Athlete 5YFHEPFD,Netball,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 62, active in Netball (2025).","Athlete male, 62 ans, actif en Netball (2025).","Male atleet, 62 jaar, actief in Netball (2025)."
ath-4,sport-17,Athlete 7NHXE4UA,Netball,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 30, active in Netball (2025).","Athlete male, 30 ans, actif en Netball (2025).","Male atleet, 30 jaar, actief in Netball (2025)."
ath-5,sport-3,Athlete B3HQ4KQU,Athletics/Track and Field,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 30, active in Athletics/Track and Field (2025).","Athlete male, 30 ans, actif en Athletics/Track and Field (2025).","Male atleet, 30 jaar, actief in Athletics/Track and Field (2025)."
ath-6,sport-17,Athlete DDP36ZNW,Netball,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 51, active in Netball (2025).","Athlete male, 51 ans, actif en Netball (2025).","Male atleet, 51 jaar, actief in Netball (2025)."
ath-7,sport-1,Athlete I2X92J12,Adapted Physical Activities,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 26, active in Adapted Physical Activities (2025).","Athlete male, 26 ans, actif en Adapted Physical Activities (2025).","Male atleet, 26 jaar, actief in Adapted Physical Activities (2025)."
ath-8,sport-14,Athlete MOX8X8HX,Judo,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 45, active in Judo (2025).","Athlete male, 45 ans, actif en Judo (2025).","Male atleet, 45 jaar, actief in Judo (2025)."
ath-9,sport-1,Athlete MSPUR5D2,Adapted Physical Activities,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 43, active in Adapted Physical Activities (2025).","Athlete male, 43 ans, actif en Adapted Physical Activities (2025).","Male atleet, 43 jaar, actief in Adapted Physical Activities (2025)."
ath-10,sport-1,Athlete QRDJU0KS,Adapted Physical Activities,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 50, active in Adapted Physical Activities (2025).","Athlete male, 50 ans, actif en Adapted Physical Activities (2025).","Male atleet, 50 jaar, actief in Adapted Physical Activities (2025)."
ath-11,sport-17,Athlete RMMEH5P5,Netball,16 ÂMES,Hainaut,Hainaut,Hainaut,"Male athlete, age 43, active in Netball (2025).","Athlete male, 43 ans, actif en Netball (2025).","Male atleet, 43 jaar, actief in Netball (2025)."
ath-24,sport-8,Athlete KE3EJ1ZT,Cycling,2GETHER ON WHEELS,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 25, active in Cycling (2025).","Athlete female, 25 ans, actif en Cycling (2025).","Female atleet, 25 jaar, actief in Cycling (2025)."
ath-28,sport-8,Athlete RI6GIBPM,Cycling,2GETHER ON WHEELS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 23, active in Cycling (2025).","Athlete male, 23 ans, actif en Cycling (2025).","Male atleet, 23 jaar, actief in Cycling (2025)."
ath-34,sport-8,Athlete 1O4JLWE8,Cycling,3MASTER,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 16, active in Cycling (2025).","Athlete male, 16 ans, actif en Cycling (2025).","Male atleet, 16 jaar, actief in Cycling (2025)."
ath-41,sport-3,Athlete 9EGJ9GSW,Athletics/Track and Field,3MASTER,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 19, active in Athletics/Track and Field (2025).","Athlete male, 19 ans, actif en Athletics/Track and Field (2025).","Male atleet, 19 jaar, actief in Athletics/Track and Field (2025)."
ath-42,sport-3,Athlete 9ID2OHJV,Athletics/Track and Field,3MASTER,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 19, active in Athletics/Track and Field (2025).","Athlete male, 19 ans, actif en Athletics/Track and Field (2025).","Male atleet, 19 jaar, actief in Athletics/Track and Field (2025)."
ath-44,sport-8,Athlete A4JA6Z3F,Cycling,3MASTER,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 15, active in Cycling (2025).","Athlete female, 15 ans, actif en Cycling (2025).","Female atleet, 15 jaar, actief in Cycling (2025)."
ath-69,sport-3,Athlete NMR0HF97,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 17, active in Athletics/Track and Field (2025).","Athlete male, 17 ans, actif en Athletics/Track and Field (2025).","Male atleet, 17 jaar, actief in Athletics/Track and Field (2025)."
ath-82,sport-3,Athlete X589UD7F,Athletics/Track and Field,3MASTER,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 19, active in Athletics/Track and Field (2025).","Athlete female, 19 ans, actif en Athletics/Track and Field (2025).","Female atleet, 19 jaar, actief in Athletics/Track and Field (2025)."
ath-105,sport-7,Athlete CN7EPOKN,Bowling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 27, active in Bowling (2025).","Athlete male, 27 ans, actif en Bowling (2025).","Male atleet, 27 jaar, actief in Bowling (2025)."
ath-108,sport-20,Athlete DRJ7XZQO,Swimming,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 44, active in Swimming (2025).","Athlete male, 44 ans, actif en Swimming (2025).","Male atleet, 44 jaar, actief in Swimming (2025)."
ath-110,sport-8,Athlete EDK6SJ9X,Cycling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 39, active in Cycling (2025).","Athlete male, 39 ans, actif en Cycling (2025).","Male atleet, 39 jaar, actief in Cycling (2025)."
ath-115,sport-20,Athlete GOK4DHCX,Swimming,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Female athlete, age 56, active in Swimming (2025).","Athlete female, 56 ans, actif en Swimming (2025).","Female atleet, 56 jaar, actief in Swimming (2025)."
